code,code_name,requested_time,start_time,end_time
1,TI,-0.0002962920116260648,0.0,2.374988980591297e-06
2,PREP_DM,0.5352223330410197,0.5352603750070557,0.5352607920067385
3,START_DM,1.6765610000584275,1.6765873749973252,1.676587791997008
4,DECISION_MADE,2.3271633749827743,2.3271856249775738,2.3271864999551326
11,ITI,3.335315208067186,3.335429208003916,3.3354299580678344
2,PREP_DM,5.3440273749874905,5.344080458045937,5.344080958049744
3,START_DM,6.585119583061896,6.585149041959085,6.585149541962892
4,DECISION_MADE,7.360585417016409,7.360605624970049,7.360606541973539
6,PREP_EP,8.368390541989356,8.368417083052918,8.368417707970366
8,WAITING_FEEDBACK_EP,10.259897249983624,10.25991908297874,10.259919582982548
9,FEEDBACK_ANTICIPATION,10.768424542038701,10.76844350004103,10.768443875014782
11,ITI,11.776911374996416,11.777013542014174,11.777014082996175
